,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y68,0.6425585365104685,0.8761043837533644,0.09924676570457228,0.4612069022516385,0.0020465246561294863,6.205485876068522e-05
y69,0.10110213572601771,0.8104883267879479,0.48683920459072105,0.8237123639311209,0.8437795514868689,0.029151647843542954
y70,0.14892460728897702,0.9189732407007396,0.21349394321221105,0.6388704168956291,0.8424035185547715,0.11032647174100184
y71,7.395019186621769e-115,0.1460694589118433,0.3196938061232313,0.5766646034194228,7.50637871613698e-11,0.0017301773581122977
y72,0.020066810015994915,0.25252894384644586,0.2715890238766371,0.1865860978631445,0.6213486813124349,0.9999992576309723
y73,6.169484166423814e-38,0.25729766991716807,0.874167714892225,0.15974586036739025,1.0079604957778365e-09,0.0002882893960989224
y74,0.11847889521643791,0.4595079798063194,0.8989673939204147,0.6757638127491112,0.9740485085951913,0.0009327142290241953
y75,0.0010189748969185494,0.07527228701621064,0.9667897298920075,0.9596316734618405,0.005992784213521346,1.9176125583545747e-05
y76,9.291856383917237e-30,0.08430380776101165,0.6845616316142875,0.5179794091354557,0.00021318769716841202,0.024010663661010668
y77,4.534352860345501e-19,0.4588196242638255,0.8681732645881591,0.6427496956876564,1.3768956462554834e-13,5.8861336750471405e-06
y78,0.24298228023032253,0.9212552363607696,0.01912356271913388,0.9735014848603726,6.341763590516352e-05,0.9999972047012202
y79,0.013597181992881905,0.5487116670373378,0.027019064631197586,0.3664201748924244,4.884960071600595e-09,6.067304864511647e-05
y80,0.0027160933514547127,0.4726592884132146,0.8552087349399149,0.7394685189475609,0.0436666782251988,0.03745800378441354
y81,1.3523205159919535e-10,0.8544860165486194,0.6367083076613222,0.48604270118840587,0.007833581812664744,0.05696517157947169
y82,0.02936658495446351,0.6720057013969186,0.4389588344010922,0.37172853419186624,1.5058492743928978e-06,2.130816714119961e-05
y83,0.7014303295603772,0.773375050199312,0.32374475714079876,0.671030099984562,0.00731386340042064,7.497315493773125e-05
y84,0.13269383640850263,0.9723827585020969,0.1728519078573889,0.6810994361483298,0.9933548724804877,0.1485121228731381
y85,7.707459991386784e-20,0.29456108592295427,0.504754866052505,0.21673515732499427,0.4954486557607536,0.9999614906885035
y86,0.9961988304256586,0.5061028201651295,0.3416968829701008,0.40602260529050016,0.47509127197502166,0.9999351799369731
y87,0.09389893878335956,0.21640022394174574,0.5417744627505381,0.2510640156597963,0.0004071909064662414,0.001282789663306593
y88,0.2642901030163376,0.05728408867552453,0.0469263074941248,0.23495141628455285,0.962095373693724,0.9999960200315846
y89,3.397603699634829e-14,0.6477221165063671,0.49379181331285815,0.10699903496675003,0.00262261533647885,0.011716376249092813
y90,3.4470635079345455e-11,0.8698184183294448,0.7954299897332657,0.1489958441448514,3.4720110273388646e-07,0.00010604568543536942
y91,0.3025522392422382,0.6015424760142182,0.41416424092468995,0.6700143454391836,0.9584319408919219,0.9999995107182882
y92,1.7749667629400415e-05,0.013261374576506422,0.33397182079495613,0.18804675130635817,0.02409138743901336,5.274700323431804e-05
y93,1.4351741252826448e-22,0.4554943226726782,0.22129713294132614,0.6414017141170498,4.400864818117291e-09,1.1074825175584805e-05
y94,0.5484771769263577,0.5583245586109089,0.3028561795819552,0.9644811341959676,0.08156408342297349,0.9999953970467885
y95,0.9065583810183,0.4503859842686917,0.8248585549116305,0.3570430407011391,0.1478569904328906,0.9999985324878877
y96,0.0005345280900631259,0.12360270063323466,0.8352162044428695,0.876023745558885,0.007287022411412355,2.5057644893607436e-05
y97,5.591406752334431e-22,0.05367453582018569,0.8784014449050944,0.07372389599895195,0.011725151599454715,2.7872434457527863e-05
y98,5.630106656569222e-06,0.7290192758905855,0.6810669013463552,0.9463679500571829,0.013078438663695182,0.00047933047143439633
