1
1
1
	P_Value
y918	0.410895998
y919	0.7842312709999999
y920	0.086610188
y921	0.077780217
y922	0.039729146
y923	0.8969451970000001
y924	0.8885378620000001
y925	0.283522134
y926	0.010824311999999999
y927	0.047136985
y928	0.0064052630000000004
y929	0.498231428
y930	0.721885358
y931	0.32143514300000003
y932	0.010203601
y933	0.291274688
y934	0.127416379
y935	0.003629913
y936	0.294311121
y937	0.460517058
y938	0.071013592
y939	0.026414591
y940	0.8588507759999999
y941	0.489528387
y942	0.044976829
y943	0.000407062
y944	0.151487415
y945	0.08878478
y946	0.45302653299999995
y947	0.347572965
y948	0.633607265
y949	0.286247492
y950	0.011353361999999999
y951	0.41489889799999996
y952	0.341607538
y953	0.964124877
y954	0.128321567
y955	0.790334722
y956	0.714356129
y957	0.22625575
y958	0.251730203
y959	0.284706234
y960	0.9585096790000001
y961	0.016448378
y962	0.044813309
y963	0.851397271
y964	0.227134305
y965	0.036979414
y966	0.10020534800000001
y967	0.01821225
y968	0.9290608570000001
y969	0.247287205
y970	0.531744563
y971	0.238798373
y972	0.40423123200000005
y973	0.085105333
y974	0.099580156
y975	0.943288043
y976	0.955350147
y977	0.238997569
y978	0.578313003
y979	0.410514844
y980	0.158467473
y981	0.005182753
y982	0.000742558
y983	0.24957908899999998
y984	0.093602429
y985	0.74575843
y986	0.7855916820000001
y987	0.055693205
y988	0.057596483
y989	0.588080935
y990	0.30581558600000003
y991	0.24002215600000001
y992	0.272022443
y993	0.491677579
y994	0.420822824
y995	0.010253558000000001
y996	0.459493759
y997	0.22213197199999998
y998	0.9324135040000001
y999	0.448209331
y1000	0.53332662
y1001	0.13671245699999998
y1002	0.102207965
y1003	0.023419705
y1004	0.117543855
y1005	0.00074113
y1006	0.22723216699999998
y1007	0.596276485
y1008	0.130431038
y1009	0.7813895740000001
y1010	0.005542863
y1011	0.265313602
y1012	0.121574258
y1013	0.193243442
y1014	0.520963847
y1015	0.029779173
y1016	0.368795052
y1017	0.004790568
y1018	0.10051172300000001
y1019	0.018569849
y1020	0.419997092
y1021	0.653722734
y1022	0.09409046300000001
y1023	0.445748343
y1024	0.427558066
y1025	0.548701265
y1026	0.034151409
y1027	0.353256821
y1028	0.836809661
y1029	0.44292623
y1030	0.9950206109999999
y1031	0.031439907999999996
y1032	0.949115657
y1033	0.112871617
y1034	0.9456820109999999
y1035	0.051517510999999995
y1036	0.39128284799999996
y1037	0.022267275
y1038	0.200650747
y1039	0.18955754800000002
y1040	0.077429397
y1041	0.113848611
y1042	0.023027952999999997
y1043	0.9633509090000001
y1044	0.513351171
y1045	0.12764234300000002
y1046	0.094124587
y1047	0.9312884709999999
y1048	0.034138562000000004
y1049	0.01131134
y1050	0.696352958
y1051	0.253537493
y1052	0.586607652
y1053	0.859007615
y1054	0.356611071
y1055	0.001967164
y1056	0.175219187
y1057	0.732780247
y1058	0.000780385
y1059	0.11959824699999999
y1060	0.005260649
y1061	0.101102397
y1062	0.22864515100000002
y1063	0.0039131059999999995
y1064	0.571324052
y1065	0.09154271900000001
y1066	0.16272790199999998
y1067	0.000883323
y1068	0.584249185
y1069	0.026287654
y1070	0.752749865
y1071	0.04806662
y1072	0.15012552199999998
y1073	0.27088786
y1074	0.072619915
y1075	0.11418035900000001
y1076	0.032919234
y1077	0.107125573
y1078	0.219189143
y1079	0.43993105200000004
y1080	0.758456983
y1081	0.23998073399999997
y1082	0.3240865
y1083	0.654947002
y1084	0.6128205379999999
y1085	0.25172283100000004
y1086	0.414306319
y1087	0.290014712
y1088	0.011111911
y1089	0.060981835
y1090	0.8445928559999999
y1091	0.213579144
y1092	0.09026785699999999
y1093	0.009824678
y1094	0.154161737
y1095	0.37705378799999995
y1096	0.046260195
y1097	0.799274785
y1098	0.02071721
y1099	0.42887114299999995
y1100	0.559529826
y1101	0.018895635
y1102	0.202993602
y1103	0.102136201
y1104	0.017424093
y1105	0.578715809
y1106	0.001992659
y1107	0.15787089099999999
y1108	0.26482716
y1109	0.39641831299999997
y1110	0.952201097
y1111	0.227433573
y1112	0.136991057
y1113	0.075236047
y1114	0.230445748
y1115	0.021625055
y1116	0.916660795
y1117	0.56015528
y1118	0.598848726
y1119	0.56396248
y1120	0.009313068
y1121	0.120672432
y1122	0.72751585
y1123	0.873663973
y1124	0.437570303
y1125	0.284343688
y1126	0.672984411
y1127	0.689429418
y1128	0.881635176
y1129	0.032279638
y1130	0.343036159
y1131	0.77295245
y1132	0.017462998
y1133	0.92081855
y1134	0.07477083
y1135	0.005140137
y1136	0.002006509
y1137	0.278395729
y1138	0.560271847
y1139	0.229760668
y1140	0.7103595009999999
y1141	0.7484174459999999
y1142	0.496324741
y1143	0.10516112400000001
y1144	0.054921298
y1145	0.041393025
y1146	0.785767839
y1147	0.046648234000000004
y1148	0.651315825
y1149	0.043107115999999994
y1150	0.244022954
y1151	0.004938998
y1152	0.486650794
y1153	0.079755144
y1154	0.533501268
y1155	0.005952619
y1156	0.240075398
y1157	0.7988599270000001
y1158	0.190105446
y1159	0.504003843
y1160	0.44031546200000005
y1161	0.20693386600000002
y1162	0.894503776
y1163	0.242980298
y1164	0.976538894
y1165	0.966227921
y1166	0.08045557
y1167	0.109499135
y1168	0.72662387
y1169	0.49989477299999996
y1170	0.7533356640000001
y1171	0.489286824
y1172	0.109277665
y1173	0.455078085
y1174	0.161110475
y1175	0.5864512479999999
y1176	0.039436236
y1177	0.10116643199999999
y1178	0.073386702
y1179	0.806706686
y1180	0.502388441
y1181	0.032300958
y1182	0.6913467109999999
y1183	0.9643783909999999
y1184	0.770486308
y1185	0.264989911
y1186	0.000235109
y1187	0.085480929
y1188	0.9476559379999999
y1189	0.011657206000000002
y1190	0.574551109
y1191	0.886816838
y1192	0.210894571
y1193	0.7590742840000001
y1194	0.303757045
y1195	0.983123395
y1196	0.003849515
y1197	0.11380013
y1198	0.8010279290000001
y1199	0.778115715
y1200	0.074210783
y1201	0.147850445
y1202	0.6886755859999999
y1203	0.035279192
y1204	0.062912188
y1205	0.371166011
y1206	0.020790268
y1207	0.028411535
y1208	0.0012056880000000001
y1209	0.589557118
y1210	0.178130509
y1211	0.074471966
y1212	0.039966572
y1213	0.7943448909999999
y1214	0.435292455
y1215	0.045749023
y1216	0.382019001
y1217	0.044436405
y1218	0.0013185229999999998
y1219	0.921736518
y1220	0.279373658
y1221	0.365623579
y1222	0.110830624
y1223	0.101189363
y1224	0.221998262
y1225	0.064417179
y1226	0.26665823
y1227	0.226613835
y1228	0.061888172000000005
y1229	0.020351351
y1230	0.1649447
y1231	0.18509455
y1232	0.012286552
y1233	0.064894322
y1234	0.07241597
y1235	0.986877491
y1236	0.331021536
y1237	0.14669120900000002
y1238	0.613890195
y1239	0.138524382
